folder,name,belt_1,belt_2,belt_3,belt_1_manual,belt_2_manual,belt_3_manual,belt_1_manual_dropped,belt_2_manual_dropped,belt_3_manual_dropped,comments,name_clean,video_url
- 3 Sacos,Camera11_bandas_bandas_20260303105830_20260303110359_1370397.mp4,0,25,39.0,0,25.0,39.0,,,,,camera11_bandas_bandas_20260303105830_20260303110359_1370397.mp4,https://drive.google.com/uc?id=1bSlXOz9PChC3J-yRWkhrIliuFSTb2Bwg
- 3 Sacos,Camera12_bandas_bandas_20260303105830_20260303110359_1370398.mp4,25,0,,25,0.0,,,,,,camera12_bandas_bandas_20260303105830_20260303110359_1370398.mp4,https://drive.google.com/uc?id=1yZ3TtinlXmZY4JwT-S9YH31RpSL4kzE3
-1 Saco,Camera12_bandas_bandas_20260303072730_20260303072859_4031386.mp4,10,0,0.0,10,0.0,0.0,1.0,,,,camera12_bandas_bandas_20260303072730_20260303072859_4031386.mp4,https://drive.google.com/uc?id=1G0yhjHtG3lNpJMwysj6LXtMhPecxlfcV
-1 Saco,Camera8_bandas_bandas_20260303072730_20260303072859_4031372.mp4,0,10,0.0,0,10.0,0.0,,,,,camera8_bandas_bandas_20260303072730_20260303072859_4031372.mp4,https://drive.google.com/uc?id=1W8fJH_nqVjvQ5pTSjb4MF6P-AyNkiY9B
-1 Saco,Camera9_bandas_bandas_20260303072730_20260303072859_4031375.mp4,10,0,0.0,10,0.0,0.0,,,,,camera9_bandas_bandas_20260303072730_20260303072859_4031375.mp4,https://drive.google.com/uc?id=1pPLThl36iNpMP9XiZ3x1sugngWwC3vQc
-1 Saco (caido),Camera4_bandas_bandas_20260303151600_20260303151759_17957673.mp4,35,0,0.0,35,0.0,0.0,1.0,,,,camera4_bandas_bandas_20260303151600_20260303151759_17957673.mp4,https://drive.google.com/uc?id=1oRNg2AOUMd9S9s8ZbD05CJjwwqzfBXxf
-1 Saco (caido),Camera4_bandas_bandas_20260303151600_20260303151759_17957673.mp4,35,0,0.0,35,0.0,0.0,1.0,,,,camera4_bandas_bandas_20260303151600_20260303151759_17957673.mp4,https://drive.google.com/uc?id=188gulCZMIcCMtf2KYUUv1MK9FE19UApO
-1 saco (aventado),Camera11_bandas_bandas_20260303080210_20260303080359_6613933.mp4,0,41,21.0,0,41.0,21.0,,1.0,,,camera11_bandas_bandas_20260303080210_20260303080359_6613933.mp4,https://drive.google.com/uc?id=1jPuEJe8xX33IT0GwL_PwCSwxtcHsjZnZ
-1 saco (aventado),Camera4_bandas_bandas_20260303080210_20260303080359_6613921.mp4,0,21,41.0,0,21.0,41.0,,,1.0,,camera4_bandas_bandas_20260303080210_20260303080359_6613921.mp4,https://drive.google.com/uc?id=1_TAO4XuPwJ6uupJJf3jpSmzIvLbCU6IE
-1 saco (aventado),Camera8_bandas_bandas_20260303080210_20260303080359_6613921.mp4,21,37,0.0,21,41.0,0.0,,1.0,,,camera8_bandas_bandas_20260303080210_20260303080359_6613921.mp4,https://drive.google.com/uc?id=14dBerFDeQDSnbzf8C1Y1vHhfnU9B1ujn
-1 y Pausas en bandas,Camera9_bandas_bandas_20260303073700_20260303074245_5973789.mp4,64,0,29.0,50,0.0,29.0,1.0,,,,camera9_bandas_bandas_20260303073700_20260303074245_5973789.mp4,https://drive.google.com/uc?id=1AscYMA8DkvNTI9EsWRcE-IZhtmbnkDG6
20251222114700-20251222114900,Camera11_bandas_bandas_20251222114700_20251222114900_6527935.mp4,0,26,29.0,0,26.0,29.0,,,,,camera11_bandas_bandas_20251222114700_20251222114900_6527935.mp4,https://drive.google.com/uc?id=1st28bvb3u32xPeF9Qm_TvU6orhNlRiHp
20251222151200-20251222151400,Camera11_bandas_bandas_20251222151200_20251222151400_6803596.mp4,0,0,2.0,0,0.0,2.0,,,,,camera11_bandas_bandas_20251222151200_20251222151400_6803596.mp4,https://drive.google.com/uc?id=1aWgikGDWSW0uDhejntdjjpqDsA82qhyc
20251222151200-20251222151400,Camera12_bandas_bandas_20251222151200_20251222151400_6803598.mp4,0,0,,0,0.0,,,,,la ultima banda no está visible en la cámara,camera12_bandas_bandas_20251222151200_20251222151400_6803598.mp4,https://drive.google.com/uc?id=1HcqRcJvwayztHsZoHgWb15K1NQKf_naF
20251222151200-20251222151400,Camera9_bandas_bandas_20251222151200_20251222151400_6803587.mp4,0,2,0.0,0,2.0,0.0,,,,,camera9_bandas_bandas_20251222151200_20251222151400_6803587.mp4,https://drive.google.com/uc?id=1mpV6K43LSBwlN1a2q_lQk7A7-m1JqzD3
20251222200600-20251222200800,Camera11_bandas_bandas_20251222200600_20251222200800_7015615.mp4,0,25,93.0,0,25.0,93.0,,,,,camera11_bandas_bandas_20251222200600_20251222200800_7015615.mp4,
20251222200600-20251222200800,Camera12_bandas_bandas_20251222200600_20251222200800_7015616.mp4,0,25,92.0,0,25.0,92.0,,,,,camera12_bandas_bandas_20251222200600_20251222200800_7015616.mp4,https://drive.google.com/uc?id=14H5_y3Tw-SbyEaqSIra31XdTiHjtsMCX
20251222200600-20251222200800,Camera4_bandas_bandas_20251222200600_20251222200800_7015605.mp4,0,92,24.0,0,92.0,24.0,,,,la diferencia es por unos segundos al inicio y al final,camera4_bandas_bandas_20251222200600_20251222200800_7015605.mp4,https://drive.google.com/uc?id=1DDTSAiPMn6ZOKYLyTbmh3Mhb8hZYPoJ7
20251222215000-20251222215200,Camera11_bandas_bandas_20251222215000_20251222215200_7226507.mp4,0,0,91.0,0,0.0,92.0,,,,Overlaping,camera11_bandas_bandas_20251222215000_20251222215200_7226507.mp4,https://drive.google.com/uc?id=1SIIDgwAOOU-hgCrxTm7r_8liAviW7Bu5
20251222215000-20251222215200,Camera9_bandas_bandas_20251222215000_20251222215200_7226498.mp4,0,0,89.0,0,0.0,92.0,,,,Overlaping,camera9_bandas_bandas_20251222215000_20251222215200_7226498.mp4,https://drive.google.com/uc?id=1ntjRR9q61DT8lZ_YrWDo8a7WBQTebYSJ
20260212170600-20260212170800,Camera11_bandas_bandas_20260212170600_20260212170800_6193753.mp4,0,31,37.0,0,31.0,37.0,,,,,camera11_bandas_bandas_20260212170600_20260212170800_6193753.mp4,https://drive.google.com/uc?id=1glhwN4XBZB3oxX3ngokzscqBbDJiBWnd
20260212170600-20260212170800,Camera4_bandas_bandas_20260212170600_20260212170800_6193740.mp4,37,0,31.0,37,0.0,31.0,,,,,camera4_bandas_bandas_20260212170600_20260212170800_6193740.mp4,https://drive.google.com/uc?id=1-jh_W8QwzBpQ7qIyZWdMDfifEVRrCK4S
20260212170600-20260212170800,Camera8_bandas_bandas_20260212170600_20260212170800_6193750.mp4,37,0,0.0,37,31.0,0.0,,,,,camera8_bandas_bandas_20260212170600_20260212170800_6193750.mp4,https://drive.google.com/uc?id=1yHw2sblSJ61FfTN1RRco41ikVgE6D9MG
20260212170600-20260212170800,Camera9_bandas_bandas_20260212170600_20260212170800_6193751.mp4,31,0,38.0,31,0.0,38.0,,,,segundois de diferencia al fnal del video,camera9_bandas_bandas_20260212170600_20260212170800_6193751.mp4,https://drive.google.com/uc?id=1ThoekkF4fFyFw6oriLVjTOC-s2OyJxjV
20260212193200-20260212193400,Camera12_bandas_bandas_20260212193200_20260212193400_6292777.mp4,0,0,43.0,0,0.0,43.0,,,,video comienza segundos después,camera12_bandas_bandas_20260212193200_20260212193400_6292777.mp4,https://drive.google.com/uc?id=1vEpGDn-VC39JK0wvuqM98A0T_m1PW6Mo
20260212193200-20260212193400,Camera4_bandas_bandas_20260212193200_20260212193400_6292765.mp4,0,44,0.0,0,44.0,0.0,,,,,camera4_bandas_bandas_20260212193200_20260212193400_6292765.mp4,https://drive.google.com/uc?id=1BhecR4NiSJycGxEtjS0_eg-BoaCDnNh-
20260212193200-20260212193400,Camera9_bandas_bandas_20260212193200_20260212193400_6292775.mp4,0,0,44.0,0,0.0,44.0,,,,,camera9_bandas_bandas_20260212193200_20260212193400_6292775.mp4,https://drive.google.com/uc?id=1-qCNQpdqLxm7sauAm_iHBEWTcWx6kyUB
20260212210600-20260212210800,Camera11_bandas_bandas_20260212210600_20260212210800_6387088.mp4,0,29,60.0,0,29.0,60.0,,,,termina segundos antes,camera11_bandas_bandas_20260212210600_20260212210800_6387088.mp4,https://drive.google.com/uc?id=1j6JfN0xMyJ3F1nfn4yDJDdX4FXDMrQpt
20260212210600-20260212210800,Camera4_bandas_bandas_20260212210600_20260212210800_6387084.mp4,0,61,29.0,0,61.0,29.0,,,1.0,interesante ver como no importa saca de bolsa sobre lña banda,camera4_bandas_bandas_20260212210600_20260212210800_6387084.mp4,https://drive.google.com/uc?id=1bTkQw_2Ct_w47I_4M-Qe-9LN_90v-EJJ
20260213065300-20260213065459,Camera12_bandas_bandas_20260213065300_20260213065459_5708302.mp4,0,33,25.0,0,33.0,25.0,,,,interesante perspectiva,camera12_bandas_bandas_20260213065300_20260213065459_5708302.mp4,https://drive.google.com/uc?id=1rfoQlPQYUk5yQOSWBzcdFwfQQCCssor0
20260213065300-20260213065459,Camera9_bandas_bandas_20260213065300_20260213065459_5708299.mp4,33,0,25.0,33,0.0,25.0,,,,,camera9_bandas_bandas_20260213065300_20260213065459_5708299.mp4,https://drive.google.com/uc?id=1KxRqVizmydQSU0ni-x9obMK16Qr6cKAd
20260213110800-20260213110900,Camera12_bandas_bandas_20260213110800_20260213110900_5958853.mp4,10,0,,17,0.0,0.0,,,,demasiado oscuro,camera12_bandas_bandas_20260213110800_20260213110900_5958853.mp4,https://drive.google.com/uc?id=1JqSCxPBCtjOf70Jhfex7z99YcmGNU42T
20260213110800-20260213110900,Camera4_bandas_bandas_20260213110800_20260213110900_5958839.mp4,19,0,16.0,19,0.0,16.0,,,,,camera4_bandas_bandas_20260213110800_20260213110900_5958839.mp4,https://drive.google.com/uc?id=1fHdTqV3hdla-wiJ0qWemK9bLQvuecvnC
20260213110800-20260213110900,Camera9_bandas_bandas_20260213110800_20260213110900_5958840.mp4,17,18,0.0,17,18.0,0.0,,,,,camera9_bandas_bandas_20260213110800_20260213110900_5958840.mp4,https://drive.google.com/uc?id=1Fg93HO8vRKXZjxX6y-H8DHZIzErLySUF
20260213125100-20260213125300,Camera11_bandas_bandas_20260213125100_20260213125300_6016871.mp4,0,41,61.0,0,42.0,62.0,,,,skip one bag,camera11_bandas_bandas_20260213125100_20260213125300_6016871.mp4,https://drive.google.com/uc?id=1g0yosMLYSaRKxTLg2v5DzWcO4jnx139b
20260213125100-20260213125300,Camera4_bandas_bandas_20260213125100_20260213125300_6016860.mp4,61,0,42.0,62,0.0,42.0,,,,overlap bag 34,camera4_bandas_bandas_20260213125100_20260213125300_6016860.mp4,https://drive.google.com/uc?id=10uD7g0fkxUW-NJbx_-k9hdn91cpJfjNV
20260213125100-20260213125300,Camera8_bandas_bandas_20260213125100_20260213125300_6016869.mp4,60,0,0.0,61,42.0,0.0,,,,bad light conditions,camera8_bandas_bandas_20260213125100_20260213125300_6016869.mp4,https://drive.google.com/uc?id=1lfSM1ozv7vBCPC2LOVwCefHV7Wp3GOc0
Otros sacos por descontar /20260303151600-20260303151759,Camera12_bandas_bandas_20260303151600_20260303151759_17957691.mp4,0,0,35.0,0,0.0,35.0,,,,,camera12_bandas_bandas_20260303151600_20260303151759_17957691.mp4,https://drive.google.com/uc?id=1ArmVTqdm8FS9IzPPlU_Lw1vEQMkY_7nE
Otros sacos por descontar /20260303151600-20260303151759,Camera4_bandas_bandas_20260303151600_20260303151759_17957673.mp4,35,0,0.0,35,0.0,0.0,,,,,camera4_bandas_bandas_20260303151600_20260303151759_17957673.mp4,https://drive.google.com/uc?id=1oRNg2AOUMd9S9s8ZbD05CJjwwqzfBXxf
Otros sacos por descontar /20260303151600-20260303151759,Camera4_bandas_bandas_20260303151600_20260303151759_17957673.mp4,35,0,0.0,35,0.0,0.0,,,,,camera4_bandas_bandas_20260303151600_20260303151759_17957673.mp4,https://drive.google.com/uc?id=188gulCZMIcCMtf2KYUUv1MK9FE19UApO
Otros sacos por descontar /20260303151600-20260303151759,Camera8_bandas_bandas_20260303151600_20260303151759_17957677.mp4,35,0,0.0,35,0.0,0.0,,,,,camera8_bandas_bandas_20260303151600_20260303151759_17957677.mp4,https://drive.google.com/uc?id=1AHUCfws1Res8CXodxKGdwh0Z2Ba5BIsL
Otros sacos por descontar /20260303151600-20260303151759,Camera9_bandas_bandas_20260303151600_20260303151759_17957677.mp4,0,35,0.0,0,35.0,0.0,,,,,camera9_bandas_bandas_20260303151600_20260303151759_17957677.mp4,https://drive.google.com/uc?id=1MKsAAS6lLmfT9elziwr_kNyF2IrSaOgi
Otros sacos por descontar /20260304070200-20260304070259,Camera8_bandas_bandas_20260304070200_20260304070259_11890373.mp4,4,0,10.0,4,,10.0,,,,,camera8_bandas_bandas_20260304070200_20260304070259_11890373.mp4,https://drive.google.com/uc?id=1GY6WV_lQWIqHQNCv0NR2IfLBPM-Y2I9-
Otros sacos por descontar /20260304070200-20260304070259,Camera9_bandas_bandas_20260304070200_20260304070258_11890374.mp4,11,4,,11,4.0,,,,,,camera9_bandas_bandas_20260304070200_20260304070258_11890374.mp4,https://drive.google.com/uc?id=10oUz2GiqIwZahLwe_r_Lp6Z9tjx-rGUa
Otros sacos por descontar /20260304072700-20260304072959,Camera4_bandas_bandas_20260304072700_20260304072959_11978763.mp4,70,0,31.0,70,0.0,31.0,,,,overlap,camera4_bandas_bandas_20260304072700_20260304072959_11978763.mp4,https://drive.google.com/uc?id=1ZC4S_acyG0hfBdz41CWZVyJITVPaqtNg
Otros sacos por descontar /20260304083900-20260304084302,Camera11_bandas_bandas_20260304083900_20260304084302_12069145.mp4,0,86,0.0,0,86.0,0.0,,1.0,,,camera11_bandas_bandas_20260304083900_20260304084302_12069145.mp4,https://drive.google.com/uc?id=137LIrPWBtqbFLm2gj7yEB-qyC3o7BtpR
Otros sacos por descontar /20260304114600-20260304114759,Camera11_bandas_bandas_20260304114600_20260304114759_12219852.mp4,33,0,1.0,33,0.0,1.0,1.0,,,,camera11_bandas_bandas_20260304114600_20260304114759_12219852.mp4,https://drive.google.com/uc?id=1wkhYlNaAqUeKJ2Yjt16wb_Jpx2KCaRYi
Otros sacos por descontar /20260304114600-20260304114759,Camera8_bandas_bandas_20260304114600_20260304114759_12219849.mp4,3,0,25.0,3,0.0,25.0,,,,,camera8_bandas_bandas_20260304114600_20260304114759_12219849.mp4,https://drive.google.com/uc?id=1V-LDKE3_hgfjmY1Mbr3QXVYAblkbU9pb
